Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
GFL,500173,GFLLIMITED,Finance,59.83,-1.46,2685.54,0.26,-5.21,1.94,,1315.06,657.23,-25.75,-6.18,-6.54,-1.51,191.61,0.47,0.5,-1.32,-1.06,1.69,1316.88,2139.48,14.6,19.11,-71.4,,6.01,,6.01,,0,11.34,-24.11,,,,-93.86,2948.08,2836.79,3086.55,3145.69,-131.12,-254.13,2.47,0,32.08,403.01,275.7,403.03,336.24,-241.99,-341.16,32.12,33.9,0,2.95,0
GHCL,500171,GHCL,Chemicals & Petrochemicals,556.5,21.54,4185.39,1.53,64.45,6.47,8.66,8.38,5346.41,-15.14,29.17,-3.2,22.52,1.7,445.9,335.99,16.67,26.78,4.9,7.78,52.4,20.2,1.41,-0.75,-2.72,8.63,-2.84,8.46,8,-0.05,839.58,654.1,8.09,4.58,5.44,-7.63,787.56,1254.23,2474.23,2663.63,981.2,344.94,1843.78,118.9,951.25,1532.75,2349.04,2291.09,3555.54,-1300.46,-1745.86,308.94,261.5,2.04,1.94,0
GHCL Textiles,543918,GHCLTEXTIL,Textiles & Apparels,76.56,,1702.84,0.51,6.04,19.01,12.69,4.51,731.8,-28.47,,,,0.64,5.06,4.41,,5.12,2.91,19.01,126.3,38.72,,,,,,,,,21.7,16.05,,,,10.18,0,,0,,0.01,,1025.13,63.33,334.27,-8.19,-8.19,220.05,220.05,-187.35,-187.35,,,,,
GHV Infra,505504,,Construction,1447.45,,221.43,49,19.03,74.58,95.1,-37.47,2086.5,,,,,7.86,0.03,-56.33,,68.53,17.12,74.58,29.77,263.68,,398.59,344.37,,83.35,142.16,,0.43,4.8,3.25,410.72,,,-100,0,0,0,0,-0.21,0.11,0.68,30.93,15.11,-56.33,-56.33,-55.63,-55.63,-0.7,-0.7,-3,-0.14,,,
Gian Lifecare,542918,,Healthcare Services,14.44,,35.93,0.78,-0.08,5.72,,55.09,14.93,-34.84,5.42,-20.09,10.13,2.7,6.96,0.26,5.88,14.11,1.8,5.72,-103.55,192.2,-24.57,,,,,,,-32.86,,,-43.58,,,-26.15,2.03,,3.5,,3.51,,4.59,5.85,5.73,0.57,,3.19,,-1.01,,13.57,,,,0
GIC Housing Fin,511676,GICHSGFIN,Finance,172.21,10.11,10774.93,0.47,23.87,6.28,6.78,-52.15,927.35,-27.05,11.54,6.85,10.1,0.87,57.59,-20.3,1.62,8.67,0.77,5.54,27.41,0.1,-2.14,-2.93,-0.4,30.15,-0.4,30.15,-2.66,0,942.78,161.9,-0.05,-2.5,-0.74,-2.51,10364.89,11768.29,20.56,18.77,478.41,-681.05,26.75,8750.59,137.29,1535.6,3348.5,1548.04,3381.89,-236.37,-254.16,280.56,252.14,,,0
Gilada Finance,538788,,Finance,11.82,7.53,34.66,0.69,1.51,10.06,7.83,5.53,16.61,5.54,35.27,-8.8,8.34,2.45,0.34,2.84,5.99,12.11,2.34,10.2,-5.06,21.57,21.76,14.37,17,12.54,17,12.46,12.17,0,2.78,1.53,36.14,21.05,17.3,11.61,0.7,0.71,4.03,0.07,1.09,3.13,4.12,9.97,0.05,-6.81,-5.98,-6.62,-5.74,-0.24,-0.29,14.24,13.38,,0,0
Gillanders Arbut,532716,GILLANDERS,Agricultural Food & other Products,121.5,-2.25,514.44,1.06,14.56,13.83,12.42,33.61,259.31,38.02,32.5,19.17,-3.86,0.58,0.84,0.86,-1.87,0.98,2.51,13.55,-6.54,33.89,2.93,-7.66,0.43,21.32,0.43,21.32,20.35,-0.03,13.66,-5.75,-8.38,-4.51,-9.03,-5.65,183,366.48,311.56,420.73,6.68,-59.7,256.29,139.02,-8.26,67.75,280.79,88.77,225.62,1.73,108.32,126.43,118.37,1.41,1.49,0
Gillette India,507815,GILLETTE,Personal Products,10461,36.06,1917.7,33.32,172.89,64.01,60.52,104.02,34092.4,15.77,13.66,24.72,38.62,11.59,419.14,284.33,20.4,53.08,32.34,59.17,3.12,50.76,4.09,3.72,10.56,10.45,10.56,10.45,7.31,0,444.32,320.98,8.53,9.58,5.81,9.79,0.16,0,309.77,300.18,242.16,220.21,342.11,0.05,500.63,1013.53,1556.19,1251.98,1920.36,-206.11,-314.49,242.14,279.66,2.75,2.99,0
Gini Silk Mills,531744,,Commercial Services & Supplies,82,1.63,61.96,0.92,2.52,29.35,32.52,25.23,45.86,-41.13,7.68,28.11,3.46,1.13,0.13,0.12,2.52,4.64,3.2,30.33,28.11,50.81,9.02,2.03,208.11,-10.98,208.11,-10.98,-8.88,0,1.3,0.71,33.47,-2.96,-5.21,-5.28,8.53,5.74,13.19,12.38,1.96,14.6,12.1,4.24,4.91,3.15,-4.69,5.68,1.11,1.27,3.32,75.15,73.06,2.46,1.75,0
