Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Jain Irrigat-DVR,570004,JISLDVREQS,Industrial Products,32.21,,,,,,,,62.15,-16.08,22.04,11.16,,,,,,0,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jain Irrigation,500219,JISLJALEQS,Industrial Products,53.72,1.1,11449.27,0.64,0.49,48,115.14,4.56,3901.03,-22.05,31.43,5.42,6.04,0.67,101.09,605.5,2.6,4.91,2.02,97.84,72.97,135.85,-6.53,-0.38,30.11,15.4,29.64,15.26,-26.82,-0.96,367.25,47.99,0.22,98.94,-5.86,-4.41,6766.52,7158.86,5372.45,5989.26,1448.39,154.75,4392.55,3998.71,1276.43,823.32,1344.51,1422.56,2197.62,2594.68,2703.12,61.69,59.79,1.94,1.6,0
Jain Marmo Inds,539119,,Other Construction Materials,40.57,-2.72,6.04,3.21,-0.48,67.78,,44.92,12.7,67.99,15.43,32.6,-2.9,7.79,0.04,0.23,-1.82,0.07,5.17,68.46,703.76,249.32,14.9,-5.7,23.86,,23.86,,,-0.05,0.03,-0.11,4.77,-12.17,-13.01,2.76,1.42,2.02,1.47,1.79,3.21,2.96,1.07,1.3,3.36,0.37,1.45,0.27,1.35,0.1,0.1,12.07,12.36,0.19,0.24,17.45
Jainam Ferro,,JAINAM,Ferrous Metals,275.55,20.01,180.03,2.17,10.16,7.27,30.07,-159.6,322.7,83.64,,27.47,13.75,1.46,45.36,-6.08,10.95,21.95,5.86,7.27,33.39,29.77,3.43,12.76,-27.39,65.66,-27.39,61.36,,-7.22,20.6,14.24,-20.46,37.15,,16.71,0.81,5.66,3.32,2.2,46.83,16.07,17.48,1.45,63.82,-17.72,-17.31,1.24,3.98,-13.52,-15.15,59.44,,5.65,5.18,0
Jainco Projects,526865,,Commercial Services & Supplies,6.04,0.06,29.95,0.57,0.04,556.25,151,-0.48,6.04,6.34,,4.78,0.06,6.16,0.17,-12.63,0.03,1.44,1.09,556.25,5673.75,6859.21,33.04,43.49,0,,0,,0,0,0.13,0.01,82.83,94.03,-6.03,3.23,6.55,4.95,4.06,4.14,5.37,5.18,4,19.15,3.82,-12.98,-13.22,-13.04,-13.27,1.22,1.47,10.64,10.63,0.02,0,0
Jainex Aamcol,505212,,Auto Components,190.85,13.15,22.67,3.93,3.14,27.24,60.91,-23.27,28.63,-20.31,36.01,20.33,10.55,1.17,0.56,-5.01,4.35,11.95,3.96,27.43,57.65,83.8,8.22,11.72,-39.57,25.12,-39.57,25.12,43.72,-8.5,1.45,0.73,-28.06,6.96,-6.49,7.83,5.62,2.15,4.54,6.63,2.05,0.46,3.85,9.89,5.04,-2.71,-0.92,2.09,4.05,-4.78,-4.94,34.42,24.73,1.25,1.07,0
Jainik Power,,JAINIK,Non - Ferrous Metals,129.05,,71.18,,9.54,10.39,20.04,-34.62,185.16,,,,58.78,0.53,5.67,-6.44,10.47,27.45,10.52,10.39,10.51,48.14,76.3,,387,,89.43,,,,,,119.7,,,5.07,14.62,,0.62,,4.21,,7.18,19.36,17.32,-3.51,,4.83,,-7.73,,,,,,0
Jaipan Industrie,505840,,Consumer Durables,32.68,-1.63,16.79,4.55,0.39,40.32,83.04,284.78,19.93,-11.29,33.87,13.16,-4.43,0.7,1.39,-0.15,-1.74,0.64,4.79,59.14,90.81,137.09,7.28,5.4,6.27,5.92,6.27,5.92,-31.17,-0.16,0.26,-0.19,11.95,5.48,-18.6,27.96,4.4,2.45,0.51,0.36,14.21,13.47,1.42,7.05,9.74,-0.32,-1.22,1.03,0.52,-1.29,-1.68,23.15,22.97,3.38,2.05,0
Jakharia Fabric,,JAKHARIA,Textiles & Apparels,92.5,-19.28,44.9,1.7,8.05,21.33,11.5,21.31,37.59,193.65,-10.29,-14.69,2.46,0.59,1.72,1.78,1.36,7.87,3.82,19.81,-41.42,49.41,-5.09,-5.64,30.64,0.88,30.64,0.88,5.72,0,-3.35,-4.93,38.18,-0.85,3.62,2.49,21.76,24.6,16.9,18.38,-15.59,-3.7,14.57,8.02,-1.72,0.01,-0.33,2.19,-7.17,25.01,41,50.96,86.64,8.5,5.98,0
Jalan Transol.,,JALAN,Transport Services,5.2,,0.52,,-1.29,23.38,,44.35,7.56,18.18,3.4,-18.9,,9.57,0.01,7.4,-12.91,4.47,-169.64,29.12,-6961.76,296.66,-48.9,-46.49,18.17,13.46,18.17,13.46,,-22.76,-1.23,-2.45,30.29,15.5,-40.8,-44.58,28.11,46.25,10.39,17.74,-15.23,6.99,0,35.11,-36.73,10.24,15.58,1.78,4.39,8.54,11.27,-7.7,2.04,,0.13,0
James Warren Tea,538564,,Agricultural Food & other Products,378.55,12.63,210,0.75,286.32,9.95,3.98,5.65,140.06,30.69,26.73,17.8,13.33,0.87,1.68,105.57,9.56,11.99,3.72,7.9,-2.04,1.37,14.29,2.84,58.16,61.08,67.56,82.88,63.63,-1.81,14.04,13.49,43.11,36.77,79.3,-10.49,0,0,38.66,44.34,-3.43,8.98,24.95,0,3.27,88.43,130.08,9.77,33.11,5.51,21.99,214.11,213.76,1.58,1.74,0
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Components,107.73,20.75,1524.75,4.33,4.5,24.21,23.92,14.88,4298.21,-11.83,16.9,-4.57,21.98,1.88,144.58,102.68,14.97,27.29,7.62,26.13,20.47,20.85,9.74,14.99,8.64,29.99,8.61,29.95,5.31,-0.04,217.42,153.83,9.86,18.37,3.12,4.36,191.22,152.27,436.07,368.69,203.82,60.62,503.96,140.29,180.01,314.75,361.22,752.73,853.87,-436.82,-490.92,17.18,14.56,4.72,4.28,1.44
Jamshri Realty,502901,,Realty,101.8,,52.29,,-1.65,,,53.98,71.12,-63.71,34.72,35.41,,9.89,0.38,1.06,-6.63,0.17,2.05,,-1112,34.83,32.68,35.84,18.92,9.49,18.9,9.48,8.32,-7.1,-0.6,-3.51,122.4,27.56,13.68,30.43,35.23,15.79,23.48,19.94,-15.9,-4.42,24.03,50.29,-9.31,-5.01,-5.86,-2.2,-3.63,-4.23,-15.47,5.14,7.97,10,9.2,0
Jana Small Finan,544118,JSFB,Banks,488.3,15.82,38463.61,1.25,41.26,6.24,11.87,1.26,5138.22,-14.35,,,18.56,1.07,2748.59,4000.8,1.61,8.14,0.85,6.24,44.68,0,19.99,18.79,346.84,72.35,250.56,48.99,10.99,,1906.1,304.92,26.06,20.86,23.11,17.34,18200.03,12700.69,170.47,259.42,1007.15,727.53,149.96,32986.6,3666.69,3469.34,4860.13,3643.89,5117.74,-1535.57,-4131.67,,,,,0
Jasch Gauging,544112,,Industrial Manufacturing,573.3,,100.31,2.92,32.3,17.17,17.75,42.71,259.82,-10.01,,,25.89,4.93,81.03,5.63,26.42,42.99,7.54,17.17,-5.86,25.08,,,,,,,,,,,,,,-11.23,0,,0,,0.05,,8.99,0.05,81.07,-44.43,,-32.83,,46.3,,,,,,
Jasch Industries,500220,,Textiles & Apparels,189.8,23.39,109.53,2.03,11.46,9.41,16.56,16.07,129.03,9.68,49.28,6.81,24.35,0.7,1.85,-10.86,15.58,14.2,5.01,10.09,51.23,60.34,-5.04,7.22,-28.23,0.73,-15,11.5,12.84,0,14.8,15.15,-22.48,-1.32,1.05,3.61,4.74,3.53,29.29,30.95,61.86,27.58,39.38,22.39,25.51,-63.61,-65.99,-10.89,-9.24,-7.52,-6.37,79.43,61.52,5.94,4.6,0
Jash Engineering,544402,JASH,Industrial Manufacturing,515.3,22.18,747.85,7.47,13.11,25.5,39.38,58.97,3233.77,25.25,72.01,52.34,22.91,4.32,103.32,10.37,12.72,24.19,9.65,28,78.25,121.64,26,21.49,39.68,34.2,37.38,32.64,95.79,-9.18,74.1,53.76,37.59,24.54,41.56,22.75,81.98,83.7,111.61,101.05,89.89,39.08,170.92,99.05,257.22,62.92,90.45,147.17,197.07,-155.7,-184.15,31.27,26.32,2.46,2.01,0
Jattashankar Ind,514318,,Textiles & Apparels,235.95,0.1,19.83,5.61,-1.12,16.52,,68.3,103.58,394.24,84.72,151.68,-1.13,26.09,0.32,1.52,-0.86,-0.39,9.86,28.48,44.56,46.85,-25.12,-13.25,,,,,,0,0.13,0.02,,,,-8.96,0,0,2.55,2.76,3.17,5.46,0,0,0.39,1.27,4.12,1.24,4.39,-1.28,-4.41,34.83,32.78,11.44,10.57,0
Jauss Polymers,526001,,Industrial Products,8.78,-4.25,8.37,0.5,-0.82,11.38,,-44.88,4.06,16.6,14.56,21.88,-4.47,,0.08,-0.09,-4.19,-4.26,2,108.5,0,0,,,-21.7,,-21.7,,,0,-0.37,-0.37,,,,-100,0.54,0.63,3.73,6.58,0.49,1.56,3.26,0,0.16,-0.04,-0.15,-0.04,-1.11,0,0.97,19,19.54,,18.95,0
Jay Ambe Super.,,,,,,22.02,,,,25.19,,69.26,,,,30.6,1.46,1.78,-4.11,7.73,21.13,8.6,,13.25,15.63,28.36,,280.3,,,,,,,,125.27,,,41.81,4.23,,1.84,,-0.28,,2.84,8.56,4.2,,,,,,,,,,,0
Jay Bee Laminati,,JAYBEE,Industrial Products,219.35,25.51,228.72,3.35,11.25,22.44,19.5,-14.34,495.02,-34.93,,,29.97,1.35,1.84,-53.01,14.56,35.71,7.19,22.44,73.58,73.34,37.58,22.78,61.21,247.65,-61.81,46.51,,,21.98,12.64,50.63,49.3,,22.81,26.93,21.44,5.24,10.17,25.9,19.44,24.38,23.6,117.82,-37.3,-31.51,-13.71,-6.9,-23.85,-26.65,,,3.45,3.39,14.45
Jay Bharat Maru.,520066,JAYBARMARU,Auto Components,97.52,6.22,1668.35,1.89,4.57,21.32,21.32,5.29,1055.65,-6.99,17.69,11.18,6.34,0.46,1.71,-63.48,2.3,9.46,2.92,29.43,-35.6,15.53,3.29,6.68,3.54,2.06,3.55,2.05,-8.61,0,82.23,30.54,3.25,3.11,0.75,-0.09,380.07,444.96,856.44,817.37,-218.94,-201.09,922.38,540.39,-237.42,68.78,210.58,541.44,810.38,-470.61,-596.35,43.71,41.56,9.26,8.44,0
Jay Jalaram Tech,,KORE,Retailing,141,16.24,183.55,2.33,6.07,80.73,23.21,-4.72,156.93,-76.61,,,16.06,0.24,6.88,-34.72,4.31,17.64,6.3,80.73,40.73,4.98,59.28,47.65,99.61,195.51,24.64,33.57,,,7.03,3.16,60.71,60.53,,36.04,10.66,9.51,6.87,2.95,20.71,7.52,8.94,55.71,85.35,-74.83,-80.69,-69.15,-74.71,-8.44,-8.42,,,9.32,9.41,0
Jay Kailash,544160,,Food Products,50.99,,33.35,1.38,2.42,21.78,21.06,-11.43,25.48,-19.38,,,14.52,1.7,5.29,-8.1,10.27,20.75,3.17,21.78,93.39,43.69,27.42,,35.16,,-82.97,,,,1.23,0.68,66.13,,,17.55,0.14,,0.34,,0.22,,6.12,10.68,12.21,-9.14,-8.67,-2.01,-0.87,-14.69,-15.36,,,6.31,,0
Jay Shree Tea,509715,JAYSREETEA,Agricultural Food & other Products,96.42,-3.49,990.38,0.66,43.81,20.52,7.39,-6.56,278.46,-27.94,8.12,-1.13,-7.85,0.31,8.04,-52.61,-2.39,-1.2,2.13,14.71,-80.28,25.15,5.74,3.65,158,17.82,158,17.82,19.5,0.25,3.82,-9.39,72.85,35.81,4.38,11.78,333.74,511.32,462.86,448,-258.98,-285.44,458.71,325.98,-54.64,-22.71,88.27,-58.98,72.82,159.96,299.05,95.14,83.57,2.1,1.59,0
Jay Ushin,513252,,Auto Components,724.15,10.34,398.13,2.33,36.85,18.67,19.63,14.31,279.52,-1.2,8.48,11.68,12.67,0.32,0.41,12.37,3.58,13.66,3.98,19.07,-10.76,32.04,9.2,5.22,3.31,47.27,3.31,47.27,3.21,6.51,27.72,9.55,4.25,6.52,6.12,11.85,123.33,127.08,173.19,179.58,-45.52,-54.62,134.28,140.16,-13.81,-12.4,9.74,25.98,67.66,3.34,7.89,221.19,187.66,7.03,5.88,0
Jayabharat Cred.,501311,,Finance,10.69,,0.17,,-2.1,,,-4.02,5.35,-0.93,41.27,-4.83,,,0.07,-1.33,-1247.72,-23000,-899.35,,0,0,,,-5.68,2.32,-5.68,2.32,4.45,15.13,-0.96,-1.21,-2.38,3.59,2.19,,58.01,56.28,0.27,0.28,-0.24,-0.39,0.01,60.46,-60.87,-2.15,-3.88,-3,-4.73,0.89,0.89,-114.58,-112.84,,,
Jayant Agro Org.,524330,JAYAGROGN,Chemicals & Petrochemicals,241.53,12.44,868.92,1.26,18.51,12.08,13.05,6.14,724.59,-21.02,20.5,2.78,9.9,0.29,8.31,89.78,6.48,12.64,5.89,13,41.3,29.74,-0.79,0.16,-14.72,29.96,-14.72,29.96,0.4,0.68,96.78,58.43,-10.28,79.4,-4.31,7.27,148.94,182.02,227.54,224.98,260.54,104.41,315.58,109.72,301.05,126.33,207.6,248.6,353.75,-121.55,-144.88,155.46,126.89,7.83,7.06,0
Jayant Infratech,543544,,Construction,86.01,15.86,101.8,1.75,8.28,26.83,10.39,12.66,87.36,-36.99,,-16.92,16.84,0.72,20.33,6.8,8.81,19.34,3.93,26.83,32.49,44.57,47.02,29.15,53.18,45.27,34.66,32.03,41.47,-38.75,6.28,4.04,47.35,38.92,39.31,10.91,7.83,4.91,0.58,0.55,5.51,0.43,0.72,15.74,23.05,8.9,5.85,9.71,7.05,-26.78,-26.85,,,5.39,8.75,0
Jayaswal Neco,522285,JAYNECOIND,Industrial Products,60.95,,5741.46,2.49,2.44,12.85,24.93,4.26,5918.23,25.57,74.2,34.5,9.39,0.95,190.62,1144.38,3.3,12.09,4.01,12.85,10.64,25.9,0.24,10.52,-41.79,16.22,-41.79,15.76,11.55,5.68,673.73,123.27,-9.99,35.88,16.22,1.8,3844.96,3940.49,3744.36,4241.11,1439.61,-3034.43,3384.37,2735.17,1117.76,2318.39,3578.66,2808.57,4116.5,-470.18,-513.1,18.88,-21.34,2.9,2.32,1.82
Jayatma Industri,531323,,Textiles & Apparels,13.31,-2.1,31.21,0.79,-3.17,27.23,,2.12,8.22,10.46,17.91,11.05,-4.89,0.29,0.76,3.5,-2.01,1.8,2.29,29.04,113.31,81.29,-41.95,-24.28,,,,,,-1.55,1.06,-0.25,-82.51,-67.71,-54.4,-4.58,13.57,15.61,4.04,4.81,10.86,6.2,7.76,19.34,15.79,8.22,15.95,13.69,21.24,-5.39,-5.36,19.66,19.22,26.62,29.91,0
Jaybharat Text,512233,,Textiles & Apparels,25.92,,241.65,,-1.02,,,-16536.96,992.31,-7.43,,1.08,,32.04,1.03,-0.06,-21.85,-26.98,1.92,,-1737.74,93.78,-36.11,-43.17,18.13,,18.13,,5.51,,-59.73,-92.99,,,,-44.21,523.72,545.54,204.15,234.94,-152.49,107.8,142.71,523.71,-293.55,-1.79,19.26,-1.79,19.26,0.04,0.12,-7.22,-5.65,3.75,8.16,0
Jaykay Enter.,500306,,Aerospace & Defense,145.2,4.93,607.03,3.87,1.83,29.39,80.47,-3627.04,1776.8,35.26,134.22,55.98,2.02,14.94,152.86,-49.34,1.47,3.34,6.65,49.93,314.71,428.79,96.06,204.11,-26.5,72.44,-32.4,58.62,26.12,18.82,10.89,7.89,-2.64,111.72,46.19,53.13,5.87,0,10.47,1.04,42.41,31.14,114.52,37.22,276.45,-193.24,-210.62,-57.83,-58.27,-133.19,-142.38,12.32,11.37,29.19,0.62,0
Jayshree Chem.,506520,,Chemicals & Petrochemicals,7.02,-2.43,18.12,2.03,-0.06,131,2059,-27.06,20.59,-29.09,5.47,-4.85,-4.79,1.2,8.17,-1.16,-3.17,-4.35,3.98,131,16.84,120.91,36,56.82,,14.63,,14.63,10.34,0,-0.32,-0.36,-18.12,16.81,10.91,33.23,0,0.06,3.18,3.67,12.4,12.29,2.72,0.78,6.29,-3.89,-0.28,-3.5,-6.44,2.56,3.98,5.57,5.69,48.45,2.33,0
Jaysynth Orgo,524592,,Chemicals & Petrochemicals,19.51,,200.4,2.22,1.13,3.78,17.32,41.58,263.2,2.25,45.23,37.9,11.38,1.11,16.71,4.31,5.02,10.08,5.09,4.12,131.09,81.97,438.64,173.17,146.72,72.18,48.56,26.89,56.51,9.85,8.26,5.18,430.22,152.19,67,10.97,19.45,18.14,3.58,5.1,-3.81,-2.17,19.9,45.42,101.72,-0.83,-1.68,3.66,2.82,-5.17,-4.98,-14.88,-13.99,,,0
JBM Auto,532605,JBMA,Auto Components,613.6,14.52,5849.69,10.74,8.68,42.03,70.68,36.84,14511.29,-35.62,68.18,44.67,15.1,2.6,194.1,280.51,4.07,13.47,5.59,64.22,-12.61,53.47,19.67,22.96,9.13,24.03,9.13,24.03,13.85,0,329.83,141.34,25.3,23.17,17.28,20.81,1388.31,627.36,1212.68,861.13,-27.05,-37.9,1720.24,2630.27,213.46,127.49,-412.46,1082.87,1156.92,-1644.35,-2302.44,37.9,31.53,6.01,4.3,0
Jeena Sikho,544476,JSLL,Pharmaceuticals & Biotechnology,770.3,39.62,328.31,35.07,6.8,46.23,113.33,139.51,9574.89,156.79,,250.56,39.27,20.42,25.96,30.03,32.9,53.41,50.81,46.23,47.62,53.96,47.39,37.8,99.26,71.29,79.65,-36.07,,-2.36,57.38,41.35,98.12,66.99,,43.91,7.43,12.46,28.35,16.66,-1.79,-2.52,153.29,10.73,99.89,39.95,48.18,122.49,157.5,-145.65,-173.76,,,2.2,1.75,0
Jeevan Scienti.,538837,,Healthcare Services,38.41,7.67,78.29,1.22,-2.55,12.98,,6.03,60.82,-33.66,14,-15.47,-2.87,1.42,0.24,-5.96,-2.06,-0.88,2.8,11.02,125.4,118.39,-11.59,14.37,-75.88,15.04,-76.16,15.04,-2.21,1.58,5.88,3.36,-24.39,33.69,9.21,18.13,12.55,17.95,19.07,30.54,31.6,-4.41,34.55,20.58,16.69,-29.67,-8.19,6.55,31.06,-34.08,-36.08,33.06,22.89,3.34,-0.59,35.43
Jenburkt Pharma,524731,,Pharmaceuticals & Biotechnology,1163,19.81,195.1,2.99,73.51,12.46,15.82,18.33,513.27,1.59,26.25,24.87,19.91,3.32,24.65,8.2,17.27,26.67,7.22,13.14,32.86,48.41,6.96,4.99,12.4,16.18,13.88,17.09,9.64,0.94,32.88,24.14,13.08,14.07,7.93,6.85,6.75,3.44,11.4,11.73,54.62,68.17,14.66,3.9,37.71,28.72,53.78,53.08,81.8,-15,-34.98,255.76,214.56,3.67,3.31,0
Jet Freight,543420,JETFREIGHT,Transport Services,13.34,4.12,178.36,0.94,0.96,17.96,13.85,-28.26,61.9,-30.34,16.04,-15.1,1.99,0.15,12.43,-3.58,0.65,7.06,3.75,20.75,-9.37,56.59,-1.49,7.81,9.51,19.48,9.51,19.48,-5.58,-19.23,8.19,1.75,10.57,49.24,4.26,12.6,49.23,37.28,31.16,14.35,-19.34,-3.1,26.37,64.34,14.53,-29.28,-35.94,-24.19,-24.81,-8.91,-13.51,5.25,4.64,,,1.68
Jet Solar,538794,,Realty,18.9,-0.56,22.66,1.06,0.04,90.7,561.25,-9.14,22.45,-25.62,-13.71,-16.32,0.7,41.57,0.05,-2.46,0.64,1.03,3.11,88.39,4886.13,549.95,14.47,4.18,0,15.97,-25.24,15.33,-24.54,-54.78,0.02,-0.04,3.23,19.53,-20.33,27.78,0.38,1.64,0.1,0.12,5.41,5.74,0.07,0.43,7.31,-3.08,-2.21,-3.08,-2.21,-9.24,-8.72,13.21,13.12,-0.06,0.03,0
Jetking Infotrai,517063,,Other Consumer Services,356.25,1.87,51.51,5,3.06,23.14,116.27,-412.13,210.45,414.66,64.03,93.53,1.43,9.14,1.7,-6.7,1.09,2.11,8.29,23.14,-30.29,34.6,19.92,3.12,18.69,22.01,18.69,22.01,17.41,-11.31,0.97,0.73,16.89,32.62,30.5,15.12,0.94,0,21.15,22.94,4.74,1.92,40.32,1.99,0.01,-15.4,-18.44,-0.61,-2.52,-0.38,4.49,66.44,63.56,0.89,0.81,0
Jetmall Spices,543286,,Food Products,25,-0.8,9.06,1.66,-1.23,89.5,,-57.69,14.98,150.5,,13.83,-1.43,20.24,0.41,-0.32,-1.51,-1.2,4.97,89.5,2444.15,1020.96,-37.35,-54.78,,,,,,-39.84,-0.05,-0.06,,,,-64.01,0.4,2.63,0.26,0.15,9.52,6.86,0.38,0,8.58,0.2,-3.27,0.63,-2.66,0.12,0.13,15.72,,4.44,5.1,0
Jeyyam Global,,JEYYAM,Food Products,56.75,,254.49,1.61,4.65,9.4,12.21,309.84,269.54,,,,17.48,0.35,2.33,-14.02,8.04,15.69,6.52,9.4,25.91,30.91,44.28,,71.6,,-59.8,,,,19.98,10.58,53.03,,,21.05,33.19,,25.13,,6.69,,73.92,70.88,91.95,-101.19,-87.71,-40.98,-21.85,-38.79,-71.77,,,9.29,,0
JFL Life,,JFLLIFE,Pharmaceuticals & Biotechnology,14.3,12.57,71.91,1.2,1.26,13.73,11.34,-13.37,47.18,-25.01,,,11.03,0.58,0.06,-3.93,6.17,14.23,3.76,13.73,175.43,181.42,34.67,22.15,13.97,63.14,2.64,-14.56,,,4.97,2.73,9.52,34.15,,8.69,15.85,9.33,7.13,5.05,10.92,0.87,12.24,10.59,27.88,-10.5,-17.46,-4.24,-7.79,-5.21,-7.56,,,2.52,6.13,0
Jhandewala Foods,540850,,Food Products,62.05,,61.46,3.04,4.53,11.36,13.71,-2.13,82.28,-46.04,55.07,111.38,,0.97,0.93,-39.39,18.23,43.26,4.5,13.93,-431.93,50.14,39.07,12.32,44.2,17.64,40.48,17.03,5.6,-14.88,-1.54,-2.03,50.99,19.1,-3.83,13.05,43.62,47.5,15.63,15.65,-44.11,-17.97,9.33,28.95,-1.65,-9.44,-4.74,-14.37,-8.76,5.43,4.02,-28.97,-24.97,11.96,3.71,0
Jhaveri Credits,531550,,Finance,218.65,2.88,88.76,2.24,2.95,88.33,74.14,-28.6,196.48,-34.54,159.17,190.49,3.26,11.69,38.29,-8.96,4.19,6.18,5.94,88.44,109.44,40.71,34.5,111.56,107.44,64.49,85.86,55.94,44.78,-8.51,1.34,0.9,84.11,76.89,48.66,123.83,3.18,0,0.03,0.04,1.01,6.84,2.83,0,52.77,-16.58,-12.53,-13.04,-8.99,76.32,70.24,11.6,11.19,3.97,0.86,0
JHS Sven.Lab.,532771,JHS,Personal Products,11.45,-0.27,203.8,0.57,-2.11,49.11,,-18.92,98.02,-61.74,-10.28,-23.7,-0.01,1.08,19.54,-14.43,-3.57,-2.97,2.45,50.07,46.88,66,2.17,-7.94,,,,,,-7.67,-2.49,-0.48,,,,-14.41,6.19,8.58,58.52,65.63,57.71,76.29,90.33,6.46,31.74,-26.63,-36.74,8.93,11.82,-31.71,-38.64,28.64,29.3,3.44,5.31,0
JHS Svend.Retail,544197,RETAIL,Retailing,38.33,,26.5,1.5,-0.04,122.86,,-11.91,31.45,-7.57,,,4.54,1.97,8.13,-2.91,4.11,12.15,3.88,122.86,23.16,22.17,80.38,43.63,27.82,20.32,,,,,0.16,-0.37,402.21,26.14,,23.68,3.08,,1.13,,1.61,,6.35,7.61,6.55,-1.59,-1.1,-0.27,-1.73,-0.36,2.01,,,,,0
Jigar Cables,540651,,Electrical Equipment,70,5.73,25.17,2.34,2.59,46.36,27.04,7.09,49.22,-24.73,23.16,39.12,7.38,0.47,1.64,4.61,5.4,11.18,9.77,39.74,110.59,62.21,106.37,50.55,74.93,48.74,74.93,48.74,23.73,0,1.87,0.93,49.67,23.46,16.24,49.82,4.41,4.14,3.68,4.12,8.52,6.32,5.09,2.82,16.22,3.09,3.12,5.89,6.58,-3.37,-3.23,20.8,20.32,1.12,1.62,0
Jindal Capital,530405,,Finance,39.6,7.86,19.65,2.57,1.12,33.36,35.23,15.58,28.54,-49.84,56.19,14.84,9.26,8.22,2.82,1.81,6.13,10.82,4.34,31.64,308.45,0,-24.08,-20.8,45.98,71.25,45.98,71.25,62.56,0,1.21,0.7,41.32,113.47,80.94,-30.42,0,0.47,0.14,0.25,3.85,7.62,0.06,7.76,11.68,5.21,5.5,5.2,5.49,-0.05,-0.05,12.04,10.97,3.5,3.37,0
Jindal Drilling,511034,JINDRILL,Oil,609.1,6.52,2780.29,1.11,82.17,11.01,7.41,2.04,1765.17,-7.69,55.29,34.06,8.85,1.94,98.58,32.58,5.62,10.93,2.46,12.46,-6.63,104.09,25.4,30.81,48.88,18.73,48.88,18.73,42.85,-3.18,128.6,83.67,37.47,21.75,57.62,21.99,220.35,399.29,650.66,530.6,77.52,77.44,1293.93,164.32,-129.46,25.24,130.41,884.01,1185.4,-784.75,-791.27,412.04,387.01,0,0.01,0
Jindal Hotels,507981,,Leisure Services,83.92,-7.69,82.13,2.61,1.56,19.76,53.89,4.53,58.74,-28.4,28.99,22.91,9.6,1.3,1.86,9.03,2.26,9.11,2.33,32.29,-22.2,13.05,14.64,3.58,36.87,17.57,36.87,14,3.55,0,3.35,-1.53,22.74,2.51,0.41,4.3,62.77,48.82,68.65,73.01,0.4,4.41,67.33,51.13,-1.72,20.38,18.95,33.94,41.09,-5.34,-19.22,23.99,26.65,1.74,0.87,0
Jindal Leasefin,539947,,Finance,40.7,-6.45,11.76,1.92,-7.94,48.91,,-3.93,12.25,-10.17,26.73,-18.97,-11.3,4.15,0.32,-3.11,-8.52,-11.32,1.33,51.35,-367.49,0,,,,,,,,-1.88,-0.62,-0.5,,,,-85.29,0,0,0,0,-0.02,-0.22,0,5.32,0.28,-3.29,-3.27,-3.29,-3.27,-1.58,-1.6,26.29,24.96,,,0
Jindal Photo,532624,JINDALPHOT,Finance,1181.4,19.52,1048.13,1.26,224.17,2.23,5.25,20280.7,1211.92,44.63,144.94,46.62,11.66,511.36,0.01,0.06,11.26,11.61,3.93,2.23,2318.35,0,139.09,80.05,-29.09,132.85,-29.09,132.85,107.52,1.48,261.94,257.58,-28.73,270.83,156.02,158.2,62.64,52.72,3.82,3.92,32.68,32.59,3.68,59.43,32.71,-0.83,-1.36,-0.83,-1.36,0.82,1.26,1771.58,24.28,,,0
Jindal Poly Film,500227,JINDALPOLY,Industrial Products,582.4,13.72,10951.3,0.62,-4.89,4.88,46.63,11.51,2550.12,-27.79,5.35,-16.25,4.09,0.49,70.95,-102.99,1.91,6.98,2.02,4.95,163.07,26.76,-3.18,8.52,-56.13,-27.15,-56.13,-27.15,0.45,0,846.24,484.51,-26.96,-1.1,-0.52,15.14,1205.87,1425.55,2635.84,2362.31,852.7,371.03,3131.68,4419.59,4737.97,-1422.37,-372.76,-211.03,1423.94,-2175.39,-3696.99,875.17,603.15,4.88,3.95,0
